EXTERNAL:00000194 | Function | CreateEllipticRgn
EXTERNAL:00000195 | Function | CreatePen
EXTERNAL:00000196 | Function | CreatePenIndirect
EXTERNAL:00000197 | Function | CreatePatternBrush
EXTERNAL:00000198 | Function | CreateRectRgn
EXTERNAL:00000199 | Function | CreateRoundRectRgn
EXTERNAL:0000019a | Function | CreateSolidBrush
EXTERNAL:0000019b | Function | DeleteDC
EXTERNAL:0000019c | Function | DeleteObject
EXTERNAL:0000019d | Function | Ellipse
EXTERNAL:0000019e | Function | EqualRgn
EXTERNAL:0000019f | Function | ExcludeClipRect
EXTERNAL:000001a0 | Function | ExtCreateRegion
EXTERNAL:000001a1 | Function | ExtFloodFill
EXTERNAL:000001a2 | Function | FillRgn
EXTERNAL:000001a3 | Function | GetROP2
EXTERNAL:000001a4 | Function | GetBkColor
EXTERNAL:000001a5 | Function | GetBitmapBits
EXTERNAL:000001a6 | Function | GetClipBox
EXTERNAL:000001a7 | Function | GetClipRgn
EXTERNAL:000001a8 | Function | GetCurrentObject
EXTERNAL:000001a9 | Function | GetDeviceCaps
EXTERNAL:000001aa | Function | GetDIBits
EXTERNAL:000001ab | Function | GetMapMode
EXTERNAL:000001ac | Function | GetObjectType
EXTERNAL:000001ad | Function | GetPixel
EXTERNAL:000001ae | Function | GetRegionData
EXTERNAL:000001af | Function | GetRgnBox
EXTERNAL:000001b0 | Function | GetStockObject
EXTERNAL:000001b1 | Function | GetTextAlign
EXTERNAL:000001b2 | Function | GetTextColor
EXTERNAL:000001b3 | Function | GetViewportExtEx
EXTERNAL:000001b4 | Function | GetViewportOrgEx
EXTERNAL:000001b5 | Function | GetWindowExtEx
EXTERNAL:000001b6 | Function | GetWindowOrgEx
EXTERNAL:000001b7 | Function | IntersectClipRect
EXTERNAL:000001b8 | Function | LineTo
EXTERNAL:000001b9 | Function | MaskBlt
EXTERNAL:000001ba | Function | OffsetRgn
EXTERNAL:000001bb | Function | PatBlt
EXTERNAL:000001bc | Function | Pie
EXTERNAL:000001bd | Function | PaintRgn
EXTERNAL:000001be | Function | PtInRegion
EXTERNAL:000001bf | Function | RectInRegion
EXTERNAL:000001c0 | Function | RectVisible
EXTERNAL:000001c1 | Function | Rectangle
EXTERNAL:000001c2 | Function | RestoreDC
EXTERNAL:000001c3 | Function | RealizePalette
EXTERNAL:000001c4 | Function | RoundRect
EXTERNAL:000001c5 | Function | SaveDC
EXTERNAL:000001c6 | Function | SelectClipRgn
EXTERNAL:000001c7 | Function | ExtSelectClipRgn
EXTERNAL:000001c8 | Function | SelectObject
EXTERNAL:000001c9 | Function | SelectPalette
EXTERNAL:000001ca | Function | SetBkColor
EXTERNAL:000001cb | Function | SetBkMode
EXTERNAL:000001cc | Function | SetMapMode
EXTERNAL:000001cd | Function | SetPixel
EXTERNAL:000001ce | Function | SetPolyFillMode
EXTERNAL:000001cf | Function | StretchBlt
EXTERNAL:000001d0 | Function | SetRectRgn
EXTERNAL:000001d1 | Function | SetROP2
EXTERNAL:000001d2 | Function | SetStretchBltMode
EXTERNAL:000001d3 | Function | SetTextCharacterExtra
EXTERNAL:000001d4 | Function | SetTextColor
EXTERNAL:000001d5 | Function | SetTextAlign
EXTERNAL:000001d6 | Function | CreateDIBSection
EXTERNAL:000001d7 | Function | SetArcDirection
EXTERNAL:000001d8 | Function | ExtCreatePen
EXTERNAL:000001d9 | Function | MoveToEx
EXTERNAL:000001da | Function | CreatePolygonRgn
EXTERNAL:000001db | Function | DPtoLP
EXTERNAL:000001dc | Function | LPtoDP
EXTERNAL:000001dd | Function | Polygon
EXTERNAL:000001de | Function | Polyline
EXTERNAL:000001df | Function | PolyBezier
EXTERNAL:000001e0 | Function | SetViewportExtEx
EXTERNAL:000001e1 | Function | SetViewportOrgEx
EXTERNAL:000001e2 | Function | SetWindowExtEx
EXTERNAL:000001e3 | Function | SetWindowOrgEx
EXTERNAL:000001e4 | Function | OffsetViewportOrgEx
EXTERNAL:000001e5 | Function | SetBrushOrgEx
EXTERNAL:000001e6 | Function | GetDCOrgEx
EXTERNAL:000001e7 | Function | GdiFlush
EXTERNAL:000001e8 | Function | GetFileVersionInfoSizeA
EXTERNAL:000001e9 | Function | GetFileVersionInfoA
EXTERNAL:000001ea | Function | VerQueryValueA
EXTERNAL:000001eb | Function | GetFileVersionInfoSizeW
EXTERNAL:000001ec | Function | GetFileVersionInfoW
EXTERNAL:000001ed | Function | VerQueryValueW
EXTERNAL:000001ee | Function | DragQueryFileA
EXTERNAL:000001ef | Function | DragQueryFileW
EXTERNAL:000001f0 | Function | ShellExecuteW
EXTERNAL:000001f1 | Function | DragFinish
EXTERNAL:000001f2 | Function | DragAcceptFiles
EXTERNAL:000001f3 | Function | SHGetSpecialFolderLocation
EXTERNAL:000001f4 | Function | SHGetSpecialFolderPathW
EXTERNAL:000001f5 | Function | SHGetPathFromIDListW
EXTERNAL:000001f6 | Function | SHBrowseForFolderW
EXTERNAL:000001f7 | Function | SHFileOperationW
EXTERNAL:000001f8 | Function | ShellExecuteExW
EXTERNAL:000001f9 | Function | SHGetFileInfoW
EXTERNAL:000001fa | Function | InitCommonControls
EXTERNAL:000001fb | Function | ImageList_Create
EXTERNAL:000001fc | Function | ImageList_Destroy
EXTERNAL:000001fd | Function | ImageList_GetImageCount
EXTERNAL:000001fe | Function | ImageList_SetImageCount
EXTERNAL:000001ff | Function | ImageList_Add
EXTERNAL:00000200 | Function | ImageList_Replace
EXTERNAL:00000201 | Function | ImageList_AddMasked
EXTERNAL:00000202 | Function | ImageList_DrawEx
EXTERNAL:00000203 | Function | ImageList_DrawIndirect
EXTERNAL:00000204 | Function | ImageList_Remove
EXTERNAL:00000205 | Function | ImageList_Copy
EXTERNAL:00000206 | Function | ImageList_BeginDrag
EXTERNAL:00000207 | Function | ImageList_EndDrag
EXTERNAL:00000208 | Function | ImageList_DragEnter
EXTERNAL:00000209 | Function | ImageList_DragLeave
EXTERNAL:0000020a | Function | ImageList_DragMove
EXTERNAL:0000020b | Function | ImageList_DragShowNolock
EXTERNAL:0000020c | Function | _TrackMouseEvent
EXTERNAL:0000020d | Function | ImmGetContext
EXTERNAL:0000020e | Function | ImmReleaseContext
EXTERNAL:0000020f | Function | ImmGetCompositionStringW
EXTERNAL:00000210 | Function | ImmNotifyIME
EXTERNAL:00000211 | Function | ChooseColorA
